,NOC,Year,Num_Athletes
179,Aruba,1992,5
180,Aruba,1996,3
181,Aruba,2000,5
182,Aruba,2004,4
183,Aruba,2008,2
184,Aruba,2012,4
185,Aruba,2016,7
186,Aruba,2020,4
187,Aruba,2024,7
188,Aschenbrodel,1900,12
189,Astrid III,1960,3
190,Atalanta Boat Club-1,1904,2
191,Atalanta Boat Club-2,1904,2
192,Athens-2,1906,11
193,Atlanta,1920,9
194,Augsburg,1936,1
195,Ausonia,1948,3
196,Australasia,1908,48
197,Australasia,1912,29
198,Australia,1896,4
199,Australia,1900,5
200,Australia,1904,6
201,Australia,1906,10
202,Australia,1920,29
203,Australia,1924,60
204,Australia,1928,29
205,Australia,1932,20
206,Australia,1936,39
207,Australia,1948,101
208,Australia,1952,135
209,Australia,1956,402
210,Australia,1960,270
211,Australia,1964,382
212,Australia,1968,224
213,Australia,1972,266
214,Australia,1976,274
215,Australia,1980,190
216,Australia,1984,337
217,Australia,1988,339
218,Australia,1992,390
219,Australia,1996,542
220,Australia,2000,762
221,Australia,2004,585
222,Australia,2008,559
223,Australia,2012,506
224,Australia,2016,510
225,Australia,2020,638
226,Australia,2024,649
227,Australia-1,1996,4
228,Australia-1,2000,12
229,Australia-1,2004,8
230,Australia-1,2008,4
231,Australia-1,2012,4
232,Australia-1,2016,4
233,Australia-2,1996,4
234,Australia-2,2000,12
235,Australia-2,2004,8
236,Australia-2,2008,4
237,Australia-2,2012,4
238,Australia-2,2016,4
239,Australia-3,2000,2
240,Australia/Great Britain,1896,2
241,Austria,1896,8
242,Austria,1900,24
243,Austria,1904,6
244,Austria,1906,100
245,Austria,1908,13
246,Austria,1912,127
247,Austria,1924,56
248,Austria,1928,113
249,Austria,1932,33
250,Austria,1936,362
251,Austria,1948,236
252,Austria,1952,236
253,Austria,1956,57
254,Austria,1960,191
255,Austria,1964,80
256,Austria,1968,59
257,Austria,1972,143
258,Austria,1976,73
259,Austria,1980,92
260,Austria,1984,130
261,Austria,1988,96
262,Austria,1992,127
263,Austria,1996,88
264,Austria,2000,114
265,Austria,2004,88
266,Austria,2008,89
267,Austria,2012,90
268,Austria,2016,81
269,Austria,2020,103
270,Austria,2024,121
271,Austria-1,1900,2
272,Austria-1,1996,2
273,Austria-1,2004,2
274,Austria-1,2008,2
275,Austria-1,2016,2
276,Austria-2,1996,2
277,Austria-2,2004,2
278,Austria-2,2008,2
279,Austria-2,2016,2
280,Azerbaijan,1996,24
281,Azerbaijan,2000,32
282,Azerbaijan,2004,37
283,Azerbaijan,2008,44
284,Azerbaijan,2012,59
285,Azerbaijan,2016,69
286,Azerbaijan,2020,55
287,Azerbaijan,2024,49
288,"BLO Polo Club, Rugby",1900,4
289,Babe,1928,5
290,Baby-1,1900,2
291,Baby-9,1900,1
292,Baccara,1960,3
293,"Bagatelle Polo Club, Paris",1900,4
294,Bahamas,1952,1
295,Bahamas,1956,3
296,Bahamas,1960,4
297,Bahamas,1964,4
298,Bahamas,1968,22
299,Bahamas,1972,25
300,Bahamas,1976,19
301,Bahamas,1984,31
302,Bahamas,1988,18
303,Bahamas,1992,18
304,Bahamas,1996,36
305,Bahamas,2000,39
306,Bahamas,2004,28
307,Bahamas,2008,33
308,Bahamas,2012,29
309,Bahamas,2016,38
310,Bahamas,2020,22
311,Bahamas,2024,21
312,Bahrain,1984,14
313,Bahrain,1988,16
314,Bahrain,1992,15
315,Bahrain,1996,5
316,Bahrain,2000,4
317,Bahrain,2004,10
318,Bahrain,2008,15
319,Bahrain,2012,14
320,Bahrain,2016,33
321,Bahrain,2020,33
322,Bahrain,2024,15
323,Bajazzo,1960,3
324,Balaton,1960,2
325,Ballerina IV,1960,3
326,Bamba,1928,6
327,Bangladesh,1984,2
328,Bangladesh,1988,11
329,Bangladesh,1992,9
330,Bangladesh,1996,4
331,Bangladesh,2000,6
332,Bangladesh,2004,4
333,Bangladesh,2008,5
334,Bangladesh,2012,7
335,Bangladesh,2016,7
336,Bangladesh,2020,8
337,Bangladesh,2024,5
338,Barbados,1968,13
339,Barbados,1972,20
340,Barbados,1976,17
341,Barbados,1984,25
342,Barbados,1988,26
343,Barbados,1992,22
344,Barbados,1996,22
345,Barbados,2000,28
346,Barbados,2004,15
347,Barbados,2008,10
348,Barbados,2012,8
349,Barbados,2016,13
350,Barbados,2020,9
351,Barbados,2024,4
352,Barco Deloro,1964,4
353,Barion/Bari-2,1906,3
354,Barrenjoey,1964,3
355,Beatrijs III-1,1920,3
356,Beaver,1956,2
357,Beaver,1960,2
358,Belarus,1996,259
359,Belarus,2000,231
360,Belarus,2004,192
361,Belarus,2008,233
362,Belarus,2012,185
363,Belarus,2016,142
364,Belarus,2020,137
365,Belarus-1,2008,2
366,Belarus-2,2008,2
367,Belgium,1900,60
368,Belgium,1906,27
369,Belgium,1908,87
370,Belgium,1912,67
371,Belgium,1920,488
372,Belgium,1924,218
373,Belgium,1928,255
374,Belgium,1932,69
375,Belgium,1936,202
376,Belgium,1948,171
377,Belgium,1952,181
378,Belgium,1956,82
379,Belgium,1960,148
380,Belgium,1964,74
381,Belgium,1968,106
382,Belgium,1972,106
383,Belgium,1976,149
384,Belgium,1980,84
385,Belgium,1984,86
386,Belgium,1988,85
387,Belgium,1992,103
388,Belgium,1996,81
389,Belgium,2000,94
390,Belgium,2004,70
391,Belgium,2008,112
392,Belgium,2012,142
393,Belgium,2016,138
394,Belgium,2020,185
395,Belgium,2024,240
396,Belgium-1,1900,7
397,Belgium-1,1920,4
398,Belgium-1,1924,4
399,Belgium-2,1900,2
400,Belgium-2,1920,4
401,Belgium-2,1924,4
402,Belgium-3,1920,4
403,Belgium-4,1920,4
404,Belize,1968,7
405,Belize,1972,2
406,Belize,1976,4
407,Belize,1984,13
408,Belize,1988,13
409,Belize,1992,18
410,Belize,1996,5
411,Belize,2000,2
412,Belize,2004,2
413,Belize,2008,4
414,Belize,2012,3
415,Belize,2016,3
416,Belize,2020,4
417,Belize,2024,1
418,Bella,1960,2
419,Bellatrix IX,1960,3
420,Bellatrix XIII,1964,2
421,Bem II,1936,2
422,Bem II,1952,2
423,Benin,1972,3
424,Benin,1980,17
425,Benin,1984,3
426,Benin,1988,10
427,Benin,1992,7
428,Benin,1996,7
429,Benin,2000,4
430,Benin,2004,4
431,Benin,2008,5
432,Benin,2012,5
433,Benin,2016,6
434,Benin,2020,7
435,Benin,2024,5
436,Bera,1924,5
437,Berliner Ruderclub,1908,2
438,Berliner Ruderclub Sport-Borussia-1,1912,9
439,Berliner Ruderverein von 1876-2,1912,9
440,Bermuda,1936,9
441,Bermuda,1948,28
442,Bermuda,1952,12
443,Bermuda,1960,1
444,Bermuda,1964,1
445,Bermuda,1968,6
446,Bermuda,1972,9
447,Bermuda,1976,20
448,Bermuda,1984,13
449,Bermuda,1988,14
450,Bermuda,1992,29
451,Bermuda,1996,10
452,Bermuda,2000,7
453,Bermuda,2004,10
454,Bermuda,2008,6
455,Bermuda,2012,8
456,Bermuda,2016,8
457,Bermuda,2020,2
458,Bermuda,2024,8
459,Bermudes,1960,3
460,Bermudian,1960,2
461,Bhutan,1984,6
462,Bhutan,1988,6
463,Bhutan,1992,12
464,Bhutan,1996,2
465,Bhutan,2000,2
466,Bhutan,2004,2
467,Bhutan,2008,2
468,Bhutan,2012,2
469,Bhutan,2016,2
470,Bhutan,2020,4
471,Bhutan,2024,3
472,Bim,1960,3
473,Bingo,1964,3
474,Bissbi,1932,4
475,Blue Red,1924,5
476,Bluebottle,1956,3
477,Boer Team,1904,5
478,Bohemia,1900,8
479,Bohemia,1906,29
480,Bohemia,1908,41
481,Bohemia,1912,68
482,Bohemia-1,1912,2
483,Bohemia-2,1912,2
484,Bohemia-3,1912,2
485,Bohemia/Great Britain,1900,2
486,Bolivia,1936,2
487,Bolivia,1964,1
488,Bolivia,1968,4
489,Bolivia,1972,14
490,Bolivia,1976,5
491,Bolivia,1984,13
492,Bolivia,1988,12
493,Bolivia,1992,21
494,Bolivia,1996,9
495,Bolivia,2000,5
496,Bolivia,2004,11
497,Bolivia,2008,7
498,Bolivia,2012,5
499,Bolivia,2016,12
500,Bolivia,2020,5
501,Bolivia,2024,4
502,Bona Fide,1900,3
503,Bonaparte,2008,1
504,Bonzo,1924,3
505,Boreas,1960,3
506,Boreas-2,1920,2
507,Bosnia & Herzegovina,2024,6
508,Bosnia and Herzegovina,1992,13
509,Bosnia and Herzegovina,1996,12
510,Bosnia and Herzegovina,2000,11
511,Bosnia and Herzegovina,2004,11
512,Bosnia and Herzegovina,2008,7
513,Bosnia and Herzegovina,2012,8
514,Bosnia and Herzegovina,2016,11
515,Bosnia and Herzegovina,2020,8
516,Boston Archers,1904,4
517,Botswana,1980,8
518,Botswana,1984,8
519,Botswana,1988,11
520,Botswana,1992,6
521,Botswana,1996,7
522,Botswana,2000,9
523,Botswana,2004,12
524,Botswana,2008,11
525,Botswana,2012,4
526,Botswana,2016,14
527,Botswana,2020,16
528,Botswana,2024,19
529,Brandenburg,1936,1
530,Brat,1920,2
531,Brazil,1900,3
532,Brazil,1920,38
533,Brazil,1924,18
534,Brazil,1932,67
535,Brazil,1936,93
536,Brazil,1948,101
537,Brazil,1952,114
538,Brazil,1956,61
539,Brazil,1960,82
540,Brazil,1964,61
541,Brazil,1968,89
542,Brazil,1972,104
543,Brazil,1976,89
544,Brazil,1980,149
545,Brazil,1984,197
546,Brazil,1988,233
547,Brazil,1992,233
548,Brazil,1996,243
549,Brazil,2000,228
550,Brazil,2004,310
551,Brazil,2008,330
552,Brazil,2012,294
553,Brazil,2016,571
554,Brazil,2020,416
555,Brazil,2024,401
556,Brazil-1,1996,4
557,Brazil-1,2000,4
558,Brazil-1,2004,4
559,Brazil-1,2008,4
560,Brazil-1,2012,6
561,Brazil-1,2016,6
562,Brazil-2,1996,4
563,Brazil-2,2000,4
564,Brazil-2,2004,4
565,Brazil-2,2008,4
566,Brazil-2,2012,6
567,Brazil-2,2016,6
568,Bremen,1936,1
569,Brentina,2008,1
570,Breslau,1936,1
571,Briar,2008,1
572,Brigantia,1964,2
573,British Virgin Islands,1984,13
574,British Virgin Islands,1988,4
575,British Virgin Islands,1992,4
576,British Virgin Islands,1996,11
577,British Virgin Islands,2000,1
578,British Virgin Islands,2004,1
579,British Virgin Islands,2008,2
580,British Virgin Islands,2012,2
581,British Virgin Islands,2016,4
582,British Virgin Islands,2020,3
583,Bronia,1960,3
584,Brunei,1996,1
585,Brunei,2000,2
586,Brunei,2004,1
587,Brunei,2012,3
588,Brunei,2016,3
589,Brunei,2020,2
590,Brunei Darussalam,2024,3
591,Brussels Swimming and Water Polo Club,1900,10
592,Brynhild-2,1900,1
593,Bu III,1952,2
594,Bucintoro Venezia,1906,8
595,Bucintoro Venezia-1,1906,3
596,Bulgaria,1924,31
597,Bulgaria,1928,10
598,Bulgaria,1932,2
599,Bulgaria,1936,85
600,Bulgaria,1952,179
601,Bulgaria,1956,82
602,Bulgaria,1960,183
603,Bulgaria,1964,116
604,Bulgaria,1968,189
605,Bulgaria,1972,226
606,Bulgaria,1976,254
607,Bulgaria,1980,397
608,Bulgaria,1988,281
609,Bulgaria,1992,232
610,Bulgaria,1996,181
611,Bulgaria,2000,150
612,Bulgaria,2004,119
613,Bulgaria,2008,87
614,Bulgaria,2012,75
615,Bulgaria,2016,58
616,Bulgaria,2020,56
617,Bulgaria,2024,61
618,Bulgaria-1,1992,2
619,Bulgaria-2,1992,2
620,Buraddoo,1956,3
621,Buraddoo,1960,3
622,Burevestnik,1952,3
623,Burkina Faso,1972,1
624,Burkina Faso,1988,9
625,Burkina Faso,1992,4
626,Burkina Faso,1996,5
627,Burkina Faso,2000,4
628,Burkina Faso,2004,5
629,Burkina Faso,2008,6
630,Burkina Faso,2012,5
631,Burkina Faso,2016,5
632,Burkina Faso,2020,8
633,Burkina Faso,2024,8
634,Burundi,1996,7
635,Burundi,2000,6
636,Burundi,2004,7
637,Burundi,2008,3
638,Burundi,2012,6
639,Burundi,2016,10
640,Burundi,2020,7
641,Burundi,2024,8
642,Buscape II,1948,2
643,C.V.A.-14,1900,2
644,C.V.A.-7,1900,4
645,Cabo Verde,2024,7
646,Calcinhas,1960,2
647,Calimucho,2008,1
648,Calypse II,1960,2
649,Cambodia,1956,2
650,Cambodia,1964,13
651,Cambodia,1972,17
652,Cambodia,1996,5
653,Cambodia,2000,4
654,Cambodia,2004,4
655,Cambodia,2008,4
656,Cambodia,2012,6
657,Cambodia,2016,6
658,Cambodia,2020,3
659,Cambodia,2024,3
660,Cambria,1964,3
661,Cambridge University Boat Club-2,1908,9
662,Camelia,1928,4
663,Cameroon,1964,2
664,Cameroon,1968,5
665,Cameroon,1972,18
666,Cameroon,1976,4
667,Cameroon,1980,29
668,Cameroon,1984,56
669,Cameroon,1988,21
670,Cameroon,1992,12
671,Cameroon,1996,19
672,Cameroon,2000,39
673,Cameroon,2004,19
674,Cameroon,2008,32
675,Cameroon,2012,32
676,Cameroon,2016,22
677,Cameroon,2020,12
678,Cameroon,2024,6
679,Camille,1908,1
680,Canada,1900,7
681,Canada,1904,15
682,Canada,1906,4
683,Canada,1908,133
684,Canada,1912,51
685,Canada,1920,85
686,Canada,1924,83
687,Canada,1928,113
688,Canada,1932,179
689,Canada,1936,166
690,Canada,1948,184
691,Canada,1952,144
692,Canada,1956,143
693,Canada,1960,130
694,Canada,1964,184
695,Canada,1968,291
696,Canada,1972,344
697,Canada,1976,531
698,Canada,1984,572
699,Canada,1988,503
700,Canada,1992,441
701,Canada,1996,396
702,Canada,2000,410
703,Canada,2004,383
704,Canada,2008,446
705,Canada,2012,354
706,Canada,2016,397
707,Canada,2020,509
708,Canada,2024,538
709,Canada-1,1992,2
710,Canada-1,1996,6
711,Canada-1,2000,6
712,Canada-1,2004,4
713,Canada-1,2016,4
714,Canada-2,1992,2
715,Canada-2,1996,6
716,Canada-2,2000,6
717,Canada-2,2004,4
718,Canada-2,2016,4
719,Canopus,1956,3
720,Canopus,1960,3
721,Cape Verde,1996,3
722,Cape Verde,2000,2
723,Cape Verde,2004,3
724,Cape Verde,2008,2
725,Cape Verde,2012,3
726,Cape Verde,2016,5
727,Cape Verde,2020,6
728,Caprice,1932,4
729,Carabinier-15,1900,1
730,Carabinier-5,1900,1
731,Cayman Islands,1976,2
732,Cayman Islands,1984,14
733,Cayman Islands,1988,12
734,Cayman Islands,1992,13
735,Cayman Islands,1996,9
736,Cayman Islands,2000,4
737,Cayman Islands,2004,8
738,Cayman Islands,2008,6
739,Cayman Islands,2012,7
740,Cayman Islands,2016,5
741,Cayman Islands,2020,9
742,Cayman Islands,2024,5
743,Centr Afric Re,2024,4
744,Central African Republic,1968,1
745,Central African Republic,1984,3
746,Central African Republic,1988,15
747,Central African Republic,1992,21
748,Central African Republic,1996,5
749,Central African Republic,2000,3
750,Central African Republic,2004,4
751,Central African Republic,2008,3
752,Central African Republic,2012,6
753,Central African Republic,2016,6
754,Central African Republic,2020,2
755,"Central Turnverein, Chicago",1904,6
756,Century Boat Club-1,1904,4
757,Cercle Nautique de Reims-4,1900,2
758,Cercle de l'Aviron Roubaix-4,1900,10
759,Ceres II,1948,3
760,Cha-Cha III,1960,2
761,Chad,1964,2
762,Chad,1968,4
763,Chad,1972,5
764,Chad,1984,3
765,Chad,1988,6
766,Chad,1992,7
767,Chad,1996,4
768,Chad,2000,3
769,Chad,2004,1
770,Chad,2008,2
771,Chad,2012,2
772,Chad,2016,2
773,Chad,2020,3
774,Chad,2024,3
775,Chaje II,1964,3
776,Chamukina,1960,2
777,Chance,1948,2
778,Chicago Archers,1904,4
779,Chicago Athletic Association,1904,5
780,Chicago Athletic Association-2,1904,11
781,Chile,1912,28
782,Chile,1920,2
783,Chile,1924,18
784,Chile,1928,46
785,Chile,1936,55
786,Chile,1948,72
787,Chile,1952,82
788,Chile,1956,43
789,Chile,1960,9
790,Chile,1964,16
791,Chile,1968,25
792,Chile,1972,13
793,Chile,1976,9
794,Chile,1984,64
795,Chile,1988,23
796,Chile,1992,15
797,Chile,1996,24
798,Chile,2000,58
799,Chile,2004,29
800,Chile,2008,29
801,Chile,2012,44
802,Chile,2016,47
803,Chile,2020,63
804,Chile,2024,52
805,China,1932,2
806,China,1936,65
807,China,1948,33
808,China,1952,1
809,China,1984,323
810,China,1988,423
811,China,1992,378
812,China,1996,418
813,China,2000,392
814,China,2004,490
815,China,2008,708
816,China,2012,463
817,China,2016,483
818,China,2020,574
819,China,2024,587
820,China-1,1988,2
821,China-1,1992,8
822,China-1,1996,10
823,China-1,2000,12
824,China-1,2004,14
825,China-1,2008,10
826,China-1,2012,8
827,China-1,2016,8
828,China-2,1988,2
829,China-2,1992,8
830,China-2,1996,10
831,China-2,2000,10
832,China-2,2004,14
833,China-2,2008,10
834,China-2,2012,8
835,China-2,2016,8
836,China-3,2008,2
837,Chinese Taipei,1956,23
838,Chinese Taipei,1960,31
839,Chinese Taipei,1964,96
840,Chinese Taipei,1968,93
841,Chinese Taipei,1972,44
842,Chinese Taipei,1984,52
843,Chinese Taipei,1988,119
844,Chinese Taipei,1992,38
845,Chinese Taipei,1996,103
846,Chinese Taipei,2000,71
847,Chinese Taipei,2004,104
848,Chinese Taipei,2008,92
849,Chinese Taipei,2012,55
850,Chinese Taipei,2016,67
851,Chinese Taipei,2020,117
852,Chinese Taipei,2024,78
853,Chinese Taipei-1,1988,2
854,Chinese Taipei-1,1996,2
855,Chinese Taipei-1,2000,2
856,Chinese Taipei-2,1988,2
857,Chinese Taipei-2,1996,2
858,Chinese Taipei-2,2000,2
859,Chok,1960,3
860,Christian Brothers' College-1,1904,11
861,Chuckles,1956,2
862,Cicely-1,1900,1
863,Cinara-13,1900,1
864,Cincinnati Archers,1904,8
865,Ciocca,1952,5
866,Ciocca II,1948,7
867,Ciocca III,1960,3
868,Circus,1960,2
869,Ciss,1924,3
870,Clearwater,2008,1
871,Clementine V,1964,2
872,Club Nautique de Dieppe-5,1900,6
873,Club Nautique de Franais-1,1900,4
874,Club Nautique de Lyon-2,1900,8
875,Cobweb-1,1908,5
876,Colette-10,1900,1
877,Colette-12,1900,2
878,Colombia,1932,2
879,Colombia,1936,6
880,Colombia,1948,11
881,Colombia,1956,47
882,Colombia,1960,23
883,Colombia,1964,40
884,Colombia,1968,70
885,Colombia,1972,75
886,Colombia,1976,44
887,Colombia,1980,28
888,Colombia,1984,48
889,Colombia,1988,57
890,Colombia,1992,61
891,Colombia,1996,62
892,Colombia,2000,54
893,Colombia,2004,71
894,Colombia,2008,90
895,Colombia,2012,120
896,Colombia,2016,157
897,Colombia,2020,77
898,Colombia,2024,105
899,Comanche,1952,2
900,Combine,1960,2
901,Comoros,1996,4
902,Comoros,2000,2
903,Comoros,2004,3
904,Comoros,2008,3
905,Comoros,2012,3
906,Comoros,2016,4
907,Comoros,2020,3
908,Comoros,2024,5
909,Compigne Polo Club,1900,4
910,Complex II,1952,4
911,"Concordia Turnverein, St Louis",1904,6
912,Congo,2024,4
913,Congo (Brazzaville),1964,2
914,Congo (Brazzaville),1972,8
915,Congo (Brazzaville),1980,25
916,Congo (Brazzaville),1984,13
917,Congo (Brazzaville),1988,10
918,Congo (Brazzaville),1992,10
919,Congo (Brazzaville),1996,5
920,Congo (Brazzaville),2000,5
921,Congo (Brazzaville),2004,5
922,Congo (Brazzaville),2008,5
923,Congo (Brazzaville),2012,7
924,Congo (Brazzaville),2016,10
925,Congo (Kinshasa),1968,8
926,Congo (Kinshasa),1984,9
927,Congo (Kinshasa),1988,21
928,Congo (Kinshasa),1992,19
929,Congo (Kinshasa),1996,14
930,Congo (Kinshasa),2000,3
931,Congo (Kinshasa),2004,6
932,Congo (Kinshasa),2008,5
933,Congo (Kinshasa),2012,4
934,Congo (Kinshasa),2016,4
935,Cook Islands,1988,8
936,Cook Islands,1992,2
937,Cook Islands,1996,3
938,Cook Islands,2000,2
939,Cook Islands,2004,3
940,Cook Islands,2008,4
941,Cook Islands,2012,9
942,Cook Islands,2016,9
943,Cook Islands,2020,9
944,Cook Islands,2024,2
945,Cornwall,1908,15
946,Costa Rica,1936,1
947,Costa Rica,1964,2
948,Costa Rica,1968,27
949,Costa Rica,1972,4
950,Costa Rica,1976,10
951,Costa Rica,1980,37
952,Costa Rica,1984,32
953,Costa Rica,1988,33
954,Costa Rica,1992,20
955,Costa Rica,1996,13
956,Costa Rica,2000,9
957,Costa Rica,2004,21
958,Costa Rica,2008,8
959,Costa Rica,2012,11
960,Costa Rica,2016,12
961,Costa Rica,2020,18
962,Costa Rica,2024,6
963,Cote d'Ivoire,1964,10
964,Cote d'Ivoire,1968,11
965,Cote d'Ivoire,1972,13
966,Cote d'Ivoire,1976,11
967,Cote d'Ivoire,1984,18
968,Cote d'Ivoire,1988,29
969,Cote d'Ivoire,1992,18
970,Cote d'Ivoire,1996,13
971,Cote d'Ivoire,2000,18
972,Cote d'Ivoire,2004,5
973,Cote d'Ivoire,2008,22
974,Cote d'Ivoire,2012,10
975,Cote d'Ivoire,2016,15
976,Covunco III,1956,2
977,Crabe I-11,1900,1
978,Crabe I-2,1900,1
979,Crabe I-3,1900,1
980,Crabe II-1,1900,5
981,Crabe II-12,1900,5
982,Crabe II-4,1900,5
983,Crete,1906,11
984,Croatia,1992,46
985,Croatia,1996,117
986,Croatia,2000,108
987,Croatia,2004,100
988,Croatia,2008,125
989,Croatia,2012,118
990,Croatia,2016,93
991,Croatia,2020,74
992,Croatia,2024,85
993,Crocodile-11,1900,2
994,Crocodile-13,1900,1
995,Cte d'Ivoire,2024,18
996,Cuba,1900,2
997,Cuba,1904,6
998,Cuba,1924,10
999,Cuba,1928,1
1000,Cuba,1932,3
1001,Cuba,1948,110
1002,Cuba,1952,55
1003,Cuba,1956,22
1004,Cuba,1960,19
1005,Cuba,1964,76
1006,Cuba,1968,227
1007,Cuba,1972,201
1008,Cuba,1976,194
1009,Cuba,1980,288
1010,Cuba,1992,196
1011,Cuba,1996,178
1012,Cuba,2000,271
1013,Cuba,2004,177
1014,Cuba,2008,167
1015,Cuba,2012,118
1016,Cuba,2016,143
1017,Cuba,2020,82
1018,Cuba,2024,69
1019,Cuba-1,2008,2
1020,Cuba-2,2008,2
1021,Cupidon III,1928,5
1022,Cupidon Viking,1928,5
1023,Cuxhaven,1936,1
1024,Cyprus,1980,15
1025,Cyprus,1984,12
1026,Cyprus,1988,11
1027,Cyprus,1992,19
1028,Cyprus,1996,24
1029,Cyprus,2000,24
1030,Cyprus,2004,21
1031,Cyprus,2008,18
1032,Cyprus,2012,13
1033,Cyprus,2016,21
1034,Cyprus,2020,23
1035,Cyprus,2024,23
1036,Czech Republic,1996,165
1037,Czech Republic,2000,154
1038,Czech Republic,2004,163
1039,Czech Republic,2008,150
1040,Czech Republic,2012,147
1041,Czech Republic,2016,131
1042,Czech Republic,2020,151
1043,Czech Republic-1,1996,2
1044,Czech Republic-1,2000,4
1045,Czech Republic-1,2004,4
1046,Czech Republic-1,2008,4
1047,Czech Republic-1,2012,6
1048,Czech Republic-1,2016,2
1049,Czech Republic-2,1996,2
1050,Czech Republic-2,2000,4
